name,niche,area,website,public_phone,public_email,source_url,personalised_opening_line,status
Kempton Smile,Dental practice,Kempton Park,https://kemptonsmile.co.za/,011 394 8753 / 011 970 1537,info@kemptonsmile.co.za,https://kemptonsmile.co.za/,"Saw on your site that you invite new patients to WhatsApp you to book a first consultation, so I had a thought on how those WhatsApps could get an instant reply after hours too.",not contacted
Pravoma Dental Clinic,Dental practice,Kempton Park (also Morningside),https://www.pravomadental.co.za/,010 225 2033 / 083 846 9285,pravomadentalclinic@gmail.com,https://www.pravomadental.co.za/contact-us/,"With your Kempton Park and Sandton practices both taking bookings, I had an idea for keeping patient WhatsApps and reminders in one place for both.",not contacted
Ultimate Smile Dental Studio,Dental practice,Kempton Park,https://www.ultimatesmile.co.za/,011 391 3367/8 / 079 497 2022,reception@ultimatesmile.co.za,https://www.ultimatesmile.co.za/,"Noticed you take bookings through reception@ and a mobile number, and that you're open Saturday mornings. That's exactly the setup where automated WhatsApp booking and reminders help reception most.",not contacted
Smile Innovations,Dental practice,Benoni (Rynfield & Actonville),https://www.smileinnovations.co.za/,011 425 4019 / 011 420 1937,info@smileinnovations.co.za,https://www.smileinnovations.co.za/,Two branches (Rynfield and Actonville) sharing one info@ inbox caught my eye. I work with practices on routing bookings and reminders automatically.,not contacted
Crystal Park Dental (Benoni Dentist),Dental practice,Benoni (Crystal Park),https://www.benonidentist.co.za/,011 968 1378,,https://www.benonidentist.co.za/,Crystal Park Dental has been looking after Benoni patients since 1999. I'm also based in Benoni and help practices cut down on phone-tag for bookings and recalls.,not contacted
House of Smilez,Dental practice,Benoni (Morehill & CBD) + Midrand,https://houseofsmilez.co.za/,011 845 7103 / 011 420 0842,info@houseofsmilez.co.za,https://houseofsmilez.co.za/,"You offer booking by WhatsApp, phone and online form across three branches, so I had an idea for pulling all of those into one booking flow that answers 24/7.",not contacted
Cornerstone Health (Cornerstone Dentists),Dental practice,Boksburg (Parkdene),https://cornerstonehealth.co.za/,011 917 5144 / WhatsApp 072 542 9906,dental@cornerstonehealth.co.za,https://cornerstonehealth.co.za/,Saw you have a dedicated WhatsApp line (072 542 9906) and open every 2nd Saturday. An AI receptionist could answer that line instantly when the practice is closed.,not contacted
Eden Dental Centre,Dental practice,Edenvale,https://edenvaledentist.co.za/,011 453 7612/3,accounts@edenvaledentist.co.za,https://edenvaledentist.co.za/,"With 6 dentists and Saturday hours, your front desk must be juggling a lot of diaries. I help practices automate confirmations, reminders and rebooking.",not contacted
Evolution Dental Studio,Dental practice,Edenvale (Dowerglen) & Thornhill Estate,https://www.evolutiondental.co.za/,062 384 2186 / 064 394 6131,sgovender.eds@gmail.com,https://www.evolutiondental.co.za/,Your site mentions a full fee for missed appointments and late cancellations. Automated reminders and easy WhatsApp rescheduling can help cut down on those no-shows in the first place.,not contacted
Bedford Dental & Greenstone Dental,Dental practice,Bedfordview & Modderfontein,https://bedforddental.co.za/,011 454 0122 / 011 609 4985,info@bedforddental.co.za,https://bedforddental.co.za/,"Two practices, two landlines and a Mon-Fri 8-5 schedule. I had a thought on catching the patients who try to book after 5pm or on weekends.",not contacted
Jawitz Properties Kempton Park,Estate agency,Kempton Park,https://www.jawitz.co.za/contact/kempton-park/1504/,011 394 1114,admin@jawitzkemptonpark.co.za,https://www.jawitz.co.za/contact/kempton-park/1504/,"Your branch covers rentals, sales and property management, and a lot of your listings are rentals. That usually means a high volume of quick enquiries an AI responder can answer and qualify in seconds.",not contacted
Pam Golding Properties Kempton Park,Estate agency,Kempton Park (Aston Manor),https://www.pamgolding.co.za/contact-us/office-details/kempton-park/965,,,https://www.pamgolding.co.za/contact-us/office-details/kempton-park/965,"Your office covers 30+ suburbs from Bonaero Park to Tembisa. I help agencies make sure every portal enquiry from that patch gets a reply and a viewing booked, even after hours.",not contacted
Leapfrog Kempton Park,Estate agency,"Glen Marais, Kempton Park",https://leapfrog.co.za/office-bio/803572/kempton-park/,,,https://leapfrog.co.za/office-bio/803572/kempton-park/,Saw your team at Goodies Lifestyle Centre has a busy show-day schedule. I build assistants that reply to enquiries instantly and book viewings straight into the right agent's diary.,not contacted
Genesis Realty,Estate agency,Kempton Park,https://www.genesisrealty.co.za/,,,https://www.genesisrealty.co.za/,Quick heads-up: when I checked genesisrealty.co.za on 26 Sep it was showing a default server page instead of your listings. Happy to share what I saw. (Re-check before sending.),not contacted
Cockpit Real Estate,Estate agency,Kempton Park,https://www.cockpitestates.co.za/,010 023 1589,leo.ndlwana@cockpitestates.co.za,https://www.cockpitestates.co.za/,You cover everything from Kempton Park rentals to Pretoria commercial space. I help agencies qualify enquiries automatically so agents only spend time on serious buyers and tenants.,not contacted
RE/MAX Dazzle Kempton Park,Estate agency,Kempton Park,https://www.remaxdazzle.co.za/contact-us/dazzle-(kempton-park)/145/,011 394 9058,info@remaxdazzle.co.za,https://www.remaxdazzle.co.za/contact-us/dazzle-(kempton-park)/145/,Your office is listed as open weekends too. Weekend portal enquiries are exactly where an instant AI reply and viewing booking can make a difference.,not contacted
Intro Real Estate,Estate agency,"Johannesburg East (Benoni, Boksburg, Kempton Park, Edenvale +)",https://www.introrealestate.co.za/,011 422 3922,,https://www.introrealestate.co.za/,You offer everything from valuations to bond origination and transfers across seven East Rand areas. I help agencies route each enquiry to the right person automatically.,not contacted
Property Affair,Estate agency,Benoni & Boksburg,https://www.propertyaffair.co.za/,,,https://www.propertyaffair.co.za/,"20+ years in Benoni and Boksburg, and I'm a Benoni business too. I help local agencies follow up every buyer lead automatically so none go cold.",not contacted
RE/MAX Randgro,Estate agency,Benoni (Lakefield) & Boksburg,https://www.remax-randgro.co.za/about-us,011 306 6600,info@remax-randgro.co.za,https://www.remax-randgro.co.za/about-us,"With 30+ years on the East Rand and a big associate team, I had a thought on giving every associate an AI assistant for enquiry replies and viewing bookings.",not contacted
Denise Eyssell Real Estate,Estate agency,Bedfordview,https://www.deniseeyssell.co.za/,,,https://www.deniseeyssell.co.za/,"Congrats on reopening the agency after Mauritius. While you rebuild your pipeline, an AI assistant can make sure every Bedfordview enquiry gets an instant, personal reply.",not contacted
Carmen Brokers,Insurance broker,Kempton Park,https://carmenbrokers.co.za/,011 660 6163 / WhatsApp 081 878 6826,info@carmenbrokers.co.za,https://carmenbrokers.co.za/,Loved the 'no call centre waiting' promise and your Online Needs Analysis for quotes. I help brokers capture quote details on WhatsApp automatically so staff get complete info first time.,not contacted
NIC Brokers,Insurance broker,Kempton Park,https://nicsa.co.za/,,,https://nicsa.co.za/,"With 27 insurance facilities to quote from, gathering complete client details up front must save your team hours. That quote-intake step is what I automate for brokers.",not contacted
Willmar Insurance Brokers,Insurance broker,"Glen Marais, Kempton Park",https://willmar.co.za/,011 970 1418,admin@willmar.co.za,https://willmar.co.za/,Congrats on three years running of the Santam Diamond Award. I saw you're hiring brokers too. I help brokerages take admin like document chasing and renewal reminders off their team.,not contacted
Indemnus Insurance Brokers,Insurance broker,"Aston Manor, Kempton Park",http://www.indemnus.co.za/,011 391 2118,,https://www.netpages.co.za/Kempton+Park/Indemnus+Insurance+Brokers+Pty+Ltd-65156.html,Your focus on small and medium commercial clients means a lot of document collection and renewals. That's the admin I automate for brokers.,not contacted
Challenger Insurance Brokers,Insurance broker,"Pomona, Kempton Park",http://challenger7.wix.com/challenger,,angie@challengerafrica.com,https://www.financial1000.com/ZA/Kempton-Park/393281680765425/Challenger-Insurance-Brokers,Saw your posts about personal service and no-hassle free quotes. An AI assistant can collect the quote details on WhatsApp so you can spend your time advising.,not contacted
Reef Insurance Brokers,Insurance broker,Benoni,https://reefinsurance.co.za/,011 845 8000,info@reefinsurance.co.za,https://reefinsurance.co.za/,"Since 1983, and most clients come through word of mouth. That says a lot. I help brokers turn those referrals into quotes faster with automated intake and follow-up.",not contacted
The Executive Brokers,Insurance broker,Benoni,https://executivebrokers.co.za/,011 845 1850,admin@executivebrokers.co.za,https://executivebrokers.co.za/,"You cover everything from 4x4s and boats to pet insurance, and promise clients can always talk to a person. AI can do the admin behind that so your team stays on the personal calls.",not contacted
Benneton Insurance Brokers,Insurance broker,"Morehill, Benoni",https://benneton.bisdesign.co.za/,011 849 9400,,https://benneton.bisdesign.co.za/,A fellow Benoni business. I help brokerages automate renewal reminders and document chasing on WhatsApp.,not contacted
Livingstone Insurance Brokers,Insurance broker,Bedfordview (Morninghill) / Edenvale,https://livingstonegroup.co.za/,083 266 1410 (SMS/WhatsApp),info@livingstonegroup.co.za,https://livingstonegroup.co.za/,You already invite quote requests via SMS or WhatsApp on 083 266 1410. I build assistants that answer those instantly and collect the full quote details for your team.,not contacted
ALJ Insurance Brokers,Insurance broker,Bedfordview / Germiston,https://aljinsurance.co.za/,011 615 6599,info@aljinsurance.co.za,https://aljinsurance.co.za/,"You insure everything from heavy haulage to medical practices and farms, and that's a lot of different quote forms. I automate the intake so each quote arrives complete.",not contacted
